"","Date","Close.Last","Volume","Open","High","Low"
"135",2022-09-20,8.71,17186950,9.23,9.32,8.62
"136",2022-09-19,9.18,23541640,9.07,9.35,8.845
"137",2022-09-16,8.98,31989610,9.62,9.675,8.98
"138",2022-09-15,9.88,25060270,9.75,10.39,9.71
"139",2022-09-14,9.91,22078180,9.52,9.93,9.21
"140",2022-09-13,9.72,24911240,9.63,9.8871,9.45
"141",2022-09-12,10.22,47225550,10.01,10.75,9.85
"142",2022-09-09,9.72,36584220,8.86,9.73,8.78
"143",2022-09-08,8.64,16708580,8.3,8.72,8.24
"144",2022-09-07,8.39,21748240,8.07,8.455,7.89
"145",2022-09-06,8.19,20866580,8.65,8.75,8.17
"146",2022-09-02,8.88,27614750,8.78,9.17,8.35
"147",2022-09-01,8.58,26335590,9.03,9.03,8.3
"148",2022-08-31,9.12,33009710,9.11,9.28,8.68
"149",2022-08-30,9.27,25167530,9.59,9.6425,9.03
"150",2022-08-29,9.47,39602640,9.04,9.61,8.91
"151",2022-08-26,9.17,36395480,9.58,9.67,8.96
"152",2022-08-25,9.57,31596350,9.78,9.94,9.31
"153",2022-08-24,9.58,50478310,9.59,9.9,9.23
"154",2022-08-23,9.56,80188150,10.72,10.94,9.47
"155",2022-08-22,10.46,151158700,11.33,13.05,10.3
"156",2022-08-19,11.33,52461490,11.3426,11.921,11.0031
"157",2022-08-18,12.1285,50428990,13.7444,13.889,12.0216
"158",2022-08-17,13.43,59412030,15.4609,16.0016,13.3797
"159",2022-08-16,15.5992,72301080,15.0962,16.4472,14.7127
"160",2022-08-15,15.2219,50182650,15.1339,15.398,14.2537
"161",2022-08-12,15.3665,73386050,16.9384,17.1019,15.0647
"162",2022-08-11,16.0079,79337860,15.1339,16.3977,14.8887
"163",2022-08-10,14.8824,64157030,14.7064,14.9618,13.0339
"164",2022-08-09,14.1153,62368040,14.5869,14.9956,13.6689
"165",2022-08-08,15.0647,132819200,15.1276,17.2905,14.524
"166",2022-08-05,13.9456,125780200,10.6698,14.3165,10.3743
"167",2022-08-04,11.7324,66585470,11.9336,12.4177,11.4746
"168",2022-08-03,11.4495,41951880,10.8144,11.4872,10.5504
"169",2022-08-02,10.6007,42734220,9.7141,10.6792,9.6261
"170",2022-08-01,9.6638,23919730,9.0099,9.7456,9.0036
"171",2022-07-29,9.1545,18222480,8.9974,9.3495,8.8276
"172",2022-07-28,9.1671,24618690,9.1986,9.6135,8.9282
"173",2022-07-27,9.1042,23191990,8.9471,9.1403,8.6861
"174",2022-07-26,8.8213,21317070,9.2174,9.2614,8.7647
"175",2022-07-25,9.3746,20684450,9.777,9.7901,9.3023
"176",2022-07-22,9.7456,31469870,10.5001,10.6142,9.6072
"177",2022-07-21,10.6887,39349970,11.2545,11.5501,10.6572
"178",2022-07-20,11.0156,47582860,10.3869,11.1463,10.2674
"179",2022-07-19,10.2863,50521490,10.9465,11.2043,10.2171
"180",2022-07-18,10.3995,54040490,9.8084,10.6635,9.7644
"181",2022-07-15,9.6638,26144350,9.6009,9.6764,9.2489
"182",2022-07-14,9.4689,35302710,9.3997,9.8568,9.2614
"183",2022-07-13,9.5192,36666700,9.4626,10.0159,9.3683
"184",2022-07-12,9.8084,52835300,9.3997,10.148,9.3117
"185",2022-07-11,9.3997,32497670,9.1105,9.4249,8.8465
"186",2022-07-08,9.2174,48920800,8.7333,9.6324,8.7018
"187",2022-07-07,9.1042,62763250,7.8845,9.2331,7.8027
"188",2022-07-06,7.9033,25762110,7.9725,8.1988,7.6455
"189",2022-07-05,8.0354,30342380,8.5195,8.5384,7.897
"190",2022-07-01,8.5069,30952620,8.4755,8.9974,8.3372
"191",2022-06-30,8.5195,25348270,8.4252,8.7081,8.1171
"192",2022-06-29,8.5824,27690350,8.2177,8.7333,8.0479
"193",2022-06-28,8.4126,39752690,8.8024,8.9911,8.3686
"194",2022-06-27,8.8842,77601860,7.9096,9.274,7.7367
"195",2022-06-24,7.8405,80758990,7.6518,7.9033,7.5009
"196",2022-06-23,7.5764,36073130,8.0417,8.0542,7.1929
"197",2022-06-22,7.9222,26749740,7.8593,8.312,7.7776
"198",2022-06-21,7.8593,30357370,8.0165,8.1297,7.6833
"199",2022-06-17,7.8782,33042340,7.4569,7.9914,7.4569
"200",2022-06-16,7.4129,26518120,7.6833,7.8593,7.1866
"201",2022-06-15,8.0291,37213570,7.262,8.1548,7.2557
"202",2022-06-14,7.4946,25723540,7.2432,7.5764,6.9854
"203",2022-06-13,7.218,27915990,7.4884,7.6707,6.9728
"204",2022-06-10,7.8153,26632520,7.9411,8.0039,7.589
"205",2022-06-09,8.0354,32363220,8.4063,8.5069,7.9002
"206",2022-06-08,8.5006,51742170,8.0479,8.9596,7.9914
"207",2022-06-07,8.2177,40370550,7.5575,8.3309,7.4255
"208",2022-06-06,7.5135,34537920,7.809,7.9096,7.4003
"209",2022-06-03,7.8279,39226050,8.0354,8.2114,7.6582
"210",2022-06-02,8.3623,45309900,7.9788,8.5132,7.7336
"211",2022-06-01,8.0542,55539670,8.8087,9.0014,8.0479
"212",2022-05-31,9.0162,106975100,9.9027,10.1417,8.7584
"213",2022-05-27,9.0728,89906010,7.9536,9.098,7.7964
"214",2022-05-26,7.6896,71002370,7.3878,8.0982,7.2872
"215",2022-05-25,7.4695,53627960,6.5893,7.4695,6.539
"216",2022-05-24,6.5327,37689320,7.1237,7.1614,6.4761
"217",2022-05-23,7.2809,24854420,7.5512,7.5575,7.1991
"218",2022-05-20,7.5638,41387920,8.2869,8.3938,7.1866
"219",2022-05-19,8.224,50443580,8.0291,8.4881,7.9599
"220",2022-05-18,8.0228,53729440,8.0039,8.9408,7.8656
"221",2022-05-17,8.1108,38183480,7.5827,8.1234,7.4444
"222",2022-05-16,7.3626,40960020,7.4821,7.9599,7.2306
"223",2022-05-13,7.4255,58129260,7.6141,7.853,7.2243
"224",2022-05-12,7.042,104887800,6.3158,8.6201,6.0988
"225",2022-05-11,6.5201,58508740,7.2683,7.3249,6.234
"226",2022-05-10,7.4444,55693440,8.268,8.8087,7.2306
"227",2022-05-09,7.8719,40732180,8.5698,8.5698,7.8153
"228",2022-05-06,8.6515,33033080,9.2143,9.3306,8.5007
"229",2022-05-05,9.2363,26987590,9.8587,9.9279,9.0288
"230",2022-05-04,9.8839,26421730,9.5695,10.0033,9.23
"231",2022-05-03,9.7518,31834290,9.5318,10.1322,9.2613
"232",2022-05-02,9.5947,23883220,9.4941,9.7393,9.186
"233",2022-04-29,9.6198,21342740,9.8273,10.0914,9.5695
"234",2022-04-28,9.8336,29857680,9.8776,10.1385,9.2426
"235",2022-04-27,9.9656,26605920,9.6764,10.2171,9.5884
"236",2022-04-26,9.7456,24732780,10.6195,10.7453,9.7393
"237",2022-04-25,10.6635,26444160,10.3051,10.7075,10.2391
"238",2022-04-22,10.3869,26431730,10.7641,11.0722,10.1228
"239",2022-04-21,10.5944,26372740,10.9465,11.3614,10.4749
"240",2022-04-20,10.9025,23913480,11.5689,11.7324,10.8773
"241",2022-04-19,11.745,31744900,10.9276,11.8927,10.7516
"242",2022-04-18,10.9905,23892600,11.3803,11.4369,10.6667
"243",2022-04-14,11.33,25333690,11.4872,11.7502,11.2545
